Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-03-15,EGAD,Eaagads Ltd,10.35,14.5,14.0,14.0,14.0,13.6,0.4,2.94,100.0,
2024-03-15,KUKZ,Kakuzi Plc,342.0,440.0,371.0,371.0,371.0,371.0,,,,
2024-03-15,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,232.0,232.0,232.0,232.0,,,,
2024-03-15,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-03-15,SASN,Sasini Plc,15.1,22.0,19.0,20.95,19.5,20.8,-1.3,6.25,1000.0,
2024-03-15,WTK,Williamson Tea Kenya Plc,193.5,290.0,230.0,230.0,230.0,234.0,-4.0,1.71,600.0,
2024-03-15,CGEN,Car and General (K) Ltd,17.95,31.8,28.0,28.0,28.0,27.95,0.05,0.18,100.0,
2024-03-15,ABSA,ABSA Bank Kenya Plc,10.55,16.7,13.5,14.0,13.8,13.1,0.7,5.34,203900.0,
2024-03-15,BKG,BK Group Plc,30.0,37.0,33.0,35.65,33.75,33.0,0.75,2.27,700.0,
2024-03-15,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,13.2,13.9,13.55,13.05,0.5,3.83,128700.0,
2024-03-15,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,48.5,49.3,49.15,47.9,1.25,2.61,49500.0,
2024-03-15,EQTY,Equity Group Holdings Plc,33.6,51.0,40.4,42.3,41.6,40.2,1.4,3.48,147200.0,
2024-03-15,HFCK,HF Group Ltd,3.02,4.9,4.0,4.05,4.01,3.98,0.03,0.75,58800.0,
2024-03-15,IMH,I & M Holdings Plc,17.0,35.0,18.9,19.25,19.05,18.8,0.25,1.33,43600.0,
2024-03-15,KCB,KCB Group Plc,15.75,40.0,22.5,24.0,23.05,21.95,1.1,5.01,562700.0,
2024-03-15,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-03-15,NCBA,NCBA Group Plc,34.05,47.0,41.0,41.5,41.25,39.7,1.55,3.9,1700.0,
2024-03-15,SBIC,Stanbic Holdings Plc,100.0,134.0,118.0,119.75,118.0,113.25,4.75,4.19,2000.0,
2024-03-15,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,180.25,184.75,182.5,180.25,2.25,1.25,47700.0,
2024-03-15,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-03-15,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.33,1.27,1.21,0.06,4.96,6700.0,
2024-03-15,XPRS,Express Kenya Plc,2.74,3.99,3.5,3.5,3.5,3.5,,,,
2024-03-15,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-03-15,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-03-15,LKL,Longhorn Publishers Plc,2.02,2.65,2.3,2.45,2.38,2.3,0.08,3.48,400.0,
2024-03-15,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.5,2.6,2.53,2.43,0.1,4.12,300.0,
2024-03-15,NMG,Nation Media Group Plc,14.0,22.4,20.5,22.0,21.15,20.5,0.65,3.17,3600.0,
2024-03-15,SMER,Sameer Africa Plc,1.87,2.75,2.26,2.26,2.26,2.26,,,100.0,
2024-03-15,SGL,Standard Group Plc,4.86,9.0,6.16,6.16,6.16,5.6,0.56,10.0,100.0,
2024-03-15,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,15.0,15.0,15.0,15.0,,,1400.0,
2024-03-15,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.18,0.2,0.2,0.19,0.01,5.26,180600.0,
2024-03-15,SCAN,WPP ScanGroup Plc,1.86,2.94,2.3,2.3,2.3,2.3,,,100.0,
2024-03-15,ARM,ARM Cement Plc,5.55,5.55,5.55,5.55,5.55,5.55,,,,
2024-03-15,BAMB,Bamburi Cement Ltd,22.5,84.0,43.5,44.5,43.9,43.5,0.4,0.92,156100.0,
2024-03-15,CRWN,Crown Paints Kenya Plc,29.0,40.05,39.4,39.4,39.4,39.4,,,,
2024-03-15,CABL,East African Cables Plc,0.79,1.11,1.0,1.0,1.0,1.0,,,2700.0,
2024-03-15,PORT,East African Portland Cement Ltd,4.38,55.75,8.5,8.5,8.5,8.14,0.36,4.42,100.0,
2024-03-15,KEGN,Kenya Electricity Generating Company Plc,1.94,4.6,1.97,2.0,1.99,1.99,,,1444100.0,
2024-03-15,KPLC-P4,KPLC-P4,4.0,4.11,4.0,4.0,4.0,4.0,,,,
2024-03-15,KPLC-P7,KPLC-P7,6.0,6.0,6.0,6.0,6.0,6.0,,,,
2024-03-15,KPLC,Kenya Power and Lighting Company Plc,1.3,6.0,1.5,1.59,1.54,1.54,,,116700.0,
2024-03-15,TOTL,TotalEnergies Marketing Kenya Plc,14.55,25.0,16.95,16.95,16.95,16.95,,,,
2024-03-15,UMME,Umeme Ltd,13.0,17.9,13.6,14.45,13.95,14.1,-0.15,1.06,1100.0,
2024-03-15,BRIT,Britam Holdings Plc,4.25,6.5,4.9,5.0,4.97,4.98,-0.01,0.2,43000.0,
2024-03-15,CIC,CIC Insurance Group Ltd,1.93,2.5,2.1,2.2,2.17,2.06,0.11,5.34,28000.0,
2024-03-15,JUB,Jubilee Holdings Ltd,150.0,202.0,190.0,190.0,190.0,196.5,-6.5,3.31,100.0,
2024-03-15,KNRE,Kenya Re-Insurance Corporation Ltd,1.0,3.0,1.92,1.95,1.95,1.92,0.03,1.56,10700.0,
