Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-08-23,EGAD,Eaagads Ltd,10.35,14.5,12.9,12.9,12.9,12.9,,,,
2024-08-23,KUKZ,Kakuzi Plc,342.0,440.0,380.0,380.0,380.0,380.0,,,,
2024-08-23,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,224.0,224.0,224.0,224.0,,,100.0,
2024-08-23,LIMT,Limuru Tea Plc,365.0,380.0,365.0,365.0,365.0,365.0,,,,
2024-08-23,SASN,Sasini Plc,15.5,22.0,17.0,18.0,17.8,17.55,0.25,1.42,4500.0,
2024-08-23,WTK,Williamson Tea Kenya Plc,193.5,290.0,202.0,210.0,208.0,220.25,-12.25,5.56,400.0,
2024-08-23,CGEN,Car and General (K) Ltd,17.95,31.8,22.25,22.25,22.25,22.25,,,,
2024-08-23,ABSA,ABSA Bank Kenya Plc,10.55,16.35,14.05,14.3,14.2,14.15,0.05,0.35,50600.0,
2024-08-23,BKG,BK Group Plc,30.0,37.0,32.8,32.8,32.8,32.8,,,,
2024-08-23,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,13.0,13.4,13.15,13.1,0.05,0.38,189600.0,
2024-08-23,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,45.1,46.0,45.5,45.35,0.15,0.33,17400.0,
2024-08-23,EQTY,Equity Group Holdings Plc,33.6,51.0,40.2,40.75,40.5,40.35,0.15,0.37,1328600.0,
2024-08-23,HFCK,HF Group Ltd,3.02,4.9,4.0,4.5,4.49,3.97,0.52,13.1,1453900.0,
2024-08-23,IMH,I & M Holdings Plc,16.5,35.0,27.8,27.8,27.8,30.85,-3.05,9.89,4000.0,
2024-08-23,KCB,KCB Group Plc,15.0,40.0,31.5,32.15,31.95,32.25,-0.3,0.93,1758200.0,
2024-08-23,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-08-23,NCBA,NCBA Group Plc,34.05,47.0,42.0,42.85,42.0,41.1,0.9,2.19,282900.0,
2024-08-23,SBIC,Stanbic Holdings Plc,100.0,130.0,120.0,124.75,123.25,124.25,-1.0,0.8,7600.0,
