Date,Code,Name,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjusted Price,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-01-02,EGAD,Eaagads Ltd,10.35,14.50,12.80,12.80,12.80,13.95,-1.15,8.24%,100.00,-,10.35,14.5,12.8,12.8,12.8,13.95,-1.15,8.24,100.0,
2024-01-02,KUKZ,Kakuzi Plc,342.00,440.00,385.00,385.00,385.00,385.00,-,-,-,-,342.0,440.0,385.0,385.0,385.0,385.0,,,,
2024-01-02,KAPC,Kapchorua Tea Kenya Plc,207.00,280.00,215.00,215.00,215.00,215.00,-,-,-,-,207.0,280.0,215.0,215.0,215.0,215.0,,,,
2024-01-02,LIMT,Limuru Tea Plc,365.00,380.00,380.00,380.00,380.00,380.00,-,-,-,-,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-01-02,SASN,Sasini Plc,15.10,22.00,20.00,20.00,20.00,20.00,-,-,"3,300.00",-,15.1,22.0,20.0,20.0,20.0,20.0,,,3300.0,
2024-01-02,WTK,Williamson Tea Kenya Plc,193.50,290.00,228.00,228.00,228.00,208.00,20,9.62%,100.00,-,193.5,290.0,228.0,228.0,228.0,208.0,20.0,9.62,100.0,
2024-01-02,CGEN,Car and General (K) Ltd,17.95,31.80,25.00,25.00,25.00,25.00,-,-,-,-,17.95,31.8,25.0,25.0,25.0,25.0,,,,
2024-01-02,ABSA,ABSA Bank Kenya Plc,10.55,16.70,11.45,11.75,11.55,11.45,0.1,0.87%,"9,900.00",-,10.55,16.7,11.45,11.75,11.55,11.45,0.1,0.87,9900.0,
2024-01-02,BKG,BK Group Plc,30.00,37.00,33.50,35.80,35.50,35.80,-0.3,0.84%,"5,600.00",-,30.0,37.0,33.5,35.8,35.5,35.8,-0.3,0.84,5600.0,
2024-01-02,COOP,Co-operative Bank of Kenya Ltd,10.10,15.20,11.10,11.40,11.35,11.40,-0.05,0.44%,"148,300.00",-,10.1,15.2,11.1,11.4,11.35,11.4,-0.05,0.44,148300.0,
2024-01-02,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.00,44.60,45.05,44.75,45.05,-0.3,0.67%,"1,100.00",-,43.05,56.0,44.6,45.05,44.75,45.05,-0.3,0.67,1100.0,
2024-01-02,EQTY,Equity Group Holdings Plc,33.60,51.00,33.80,37.00,34.20,33.65,0.55,1.63%,"26,100.00",-,33.6,51.0,33.8,37.0,34.2,33.65,0.55,1.63,26100.0,
2024-01-02,HFCK,HF Group Ltd,3.02,4.90,3.45,3.45,3.45,3.48,-0.03,0.86%,100.00,-,3.02,4.9,3.45,3.45,3.45,3.48,-0.03,0.86,100.0,
2024-01-02,IMH,I & M Holdings Plc,17.00,35.00,17.20,17.50,17.45,17.50,-0.05,0.29%,"20,800.00",-,17.0,35.0,17.2,17.5,17.45,17.5,-0.05,0.29,20800.0,
2024-01-02,KCB,KCB Group Plc,15.75,40.00,21.80,22.00,21.95,21.90,0.05,0.23%,"54,700.00",-,15.75,40.0,21.8,22.0,21.95,21.9,0.05,0.23,54700.0,
2024-01-02,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,-,-,-,-,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-01-02,NCBA,NCBA Group Plc,34.05,47.00,38.10,38.95,38.85,38.95,-0.1,0.26%,"2,200.00",-,34.05,47.0,38.1,38.95,38.85,38.95,-0.1,0.26,2200.0,
2024-01-02,SBIC,Stanbic Holdings Plc,100.00,134.00,102.00,109.00,106.00,108.75,-2.75,2.53%,900.00,-,100.0,134.0,102.0,109.0,106.0,108.75,-2.75,2.53,900.0,
2024-01-02,SCBK,Standard Chartered Bank Kenya Ltd,148.00,236.00,160.25,164.00,160.25,162.00,-1.75,1.08%,"20,400.00",-,148.0,236.0,160.25,164.0,160.25,162.0,-1.75,1.08,20400.0,
2024-01-02,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,-,-,-,-,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-01-02,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.18,1.18,1.08,0.1,9.26%,200.00,-,0.97,1.65,1.18,1.18,1.18,1.08,0.1,9.26,200.0,
2024-01-02,XPRS,Express Kenya Plc,2.74,3.99,3.70,3.70,3.70,3.70,-,-,-,-,2.74,3.99,3.7,3.7,3.7,3.7,,,,
2024-01-02,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,-,-,-,-,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-01-02,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,-,-,-,-,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-01-02,LKL,Longhorn Publishers Plc,2.02,2.65,2.41,2.41,2.41,2.41,-,-,-,-,2.02,2.65,2.41,2.41,2.41,2.41,,,,
2024-01-02,NBV,Nairobi Business Ventures Ltd,1.85,2.90,2.46,2.50,2.46,2.70,-0.24,8.89%,"1,800.00",-,1.85,2.9,2.46,2.5,2.46,2.7,-0.24,8.89,1800.0,
2024-01-02,NMG,Nation Media Group Plc,14.00,22.40,20.25,20.50,20.40,20.05,0.35,1.75%,300.00,-,14.0,22.4,20.25,20.5,20.4,20.05,0.35,1.75,300.0,
2024-01-02,SMER,Sameer Africa Plc,1.87,2.75,2.27,2.27,2.27,2.27,-,-,-,-,1.87,2.75,2.27,2.27,2.27,2.27,,,,
2024-01-02,SGL,Standard Group Plc,4.86,9.00,7.74,7.74,7.74,7.74,-,-,-,-,4.86,9.0,7.74,7.74,7.74,7.74,,,,
