Date,Code,Name,12m Low_num,12m High_num,Day Low_num,Day High_num,Day Price_num,Previous_num,Change_num,Change%_num,Volume_num,Adjusted Price_num
2024-01-02,EGAD,Eaagads Ltd,10.35,14.5,12.8,12.8,12.8,13.95,-1.15,8.24,100.0,
2024-01-02,KUKZ,Kakuzi Plc,342.0,440.0,385.0,385.0,385.0,385.0,,,,
2024-01-02,KAPC,Kapchorua Tea Kenya Plc,207.0,280.0,215.0,215.0,215.0,215.0,,,,
2024-01-02,LIMT,Limuru Tea Plc,365.0,380.0,380.0,380.0,380.0,380.0,,,,
2024-01-02,SASN,Sasini Plc,15.1,22.0,20.0,20.0,20.0,20.0,,,3300.0,
2024-01-02,WTK,Williamson Tea Kenya Plc,193.5,290.0,228.0,228.0,228.0,208.0,20.0,9.62,100.0,
2024-01-02,CGEN,Car and General (K) Ltd,17.95,31.8,25.0,25.0,25.0,25.0,,,,
2024-01-02,ABSA,ABSA Bank Kenya Plc,10.55,16.7,11.45,11.75,11.55,11.45,0.1,0.87,9900.0,
2024-01-02,BKG,BK Group Plc,30.0,37.0,33.5,35.8,35.5,35.8,-0.3,0.84,5600.0,
2024-01-02,COOP,Co-operative Bank of Kenya Ltd,10.1,15.2,11.1,11.4,11.35,11.4,-0.05,0.44,148300.0,
2024-01-02,DTK,Diamond Trust Bank Kenya Ltd,43.05,56.0,44.6,45.05,44.75,45.05,-0.3,0.67,1100.0,
2024-01-02,EQTY,Equity Group Holdings Plc,33.6,51.0,33.8,37.0,34.2,33.65,0.55,1.63,26100.0,
2024-01-02,HFCK,HF Group Ltd,3.02,4.9,3.45,3.45,3.45,3.48,-0.03,0.86,100.0,
2024-01-02,IMH,I & M Holdings Plc,17.0,35.0,17.2,17.5,17.45,17.5,-0.05,0.29,20800.0,
2024-01-02,KCB,KCB Group Plc,15.75,40.0,21.8,22.0,21.95,21.9,0.05,0.23,54700.0,
2024-01-02,NBK,National Bank of Kenya Ltd,4.12,4.12,4.12,4.12,4.12,4.12,,,,
2024-01-02,NCBA,NCBA Group Plc,34.05,47.0,38.1,38.95,38.85,38.95,-0.1,0.26,2200.0,
2024-01-02,SBIC,Stanbic Holdings Plc,100.0,134.0,102.0,109.0,106.0,108.75,-2.75,2.53,900.0,
2024-01-02,SCBK,Standard Chartered Bank Kenya Ltd,148.0,236.0,160.25,164.0,160.25,162.0,-1.75,1.08,20400.0,
2024-01-02,DCON,Deacons (East Africa) Plc,0.45,0.45,0.45,0.45,0.45,0.45,,,,
2024-01-02,EVRD,Eveready East Africa Ltd,0.97,1.65,1.18,1.18,1.18,1.08,0.1,9.26,200.0,
2024-01-02,XPRS,Express Kenya Plc,2.74,3.99,3.7,3.7,3.7,3.7,,,,
2024-01-02,HBE,Homeboyz Entertainment Plc,4.66,4.66,4.66,4.66,4.66,4.66,,,,
2024-01-02,KQ,Kenya Airways Plc,3.83,3.83,3.83,3.83,3.83,3.83,,,,
2024-01-02,LKL,Longhorn Publishers Plc,2.02,2.65,2.41,2.41,2.41,2.41,,,,
2024-01-02,NBV,Nairobi Business Ventures Ltd,1.85,2.9,2.46,2.5,2.46,2.7,-0.24,8.89,1800.0,
2024-01-02,NMG,Nation Media Group Plc,14.0,22.4,20.25,20.5,20.4,20.05,0.35,1.75,300.0,
2024-01-02,SMER,Sameer Africa Plc,1.87,2.75,2.27,2.27,2.27,2.27,,,,
2024-01-02,SGL,Standard Group Plc,4.86,9.0,7.74,7.74,7.74,7.74,,,,
2024-01-02,TPSE,TPS Eastern Africa (Serena) Ltd,11.0,20.15,14.85,16.5,16.25,16.45,-0.2,1.22,700.0,
2024-01-02,UCHM,Uchumi Supermarket Plc,0.16,0.23,0.18,0.18,0.18,0.17,0.01,5.88,700.0,
